Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Belvédère Asset Management AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Belvoir Capital AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
bemag Objekteinrichtungen AG,Sissach,https://www.bemag.ch,Swissmem,1,Industry / engineering,
BEN Energy AG,,https://www.swissmadesoftware.org/en/companies/ben-energy-ag/home.html,Swiss Made Software,1,Software,
Benchmarc AG,Hergiswil NW,,FINMA,1,Regulated financial services,Portfolio manager
Bendio AG,Küssnacht am Rigi,,FINMA,1,Regulated financial services,Portfolio manager
Benfid Verwaltungs AG,Zug,,FINMA,1,Regulated financial services,Trustee
Benisa SA,Cadempino,https://www.benisasa.ch,Swissolar,1,Solar / energy,Via al Mulino 1
Benjamin Lüchinger GmbH,Oberriet SG,https://www.luechinger-heizungen.ch,Swissolar,1,Solar / energy,Härdliweg 2
Benlink AG,Uzwil,,Swissmem,1,Industry / engineering,
Benninger AG,Uzwil,https://www.benningergroup.com,Swissmem,1,Industry / engineering,
Benninger Guss AG,Uzwil,https://www.benningerguss.ch,Swissmem,1,Industry / engineering,
"BenQ Deutschland GmbH, Oberhausen",5405 Baden,https://www.benq.eu/de-ch/index.html,Swico,1,ICT / consumer electronics,
bensolution GmbH,,https://www.swissmadesoftware.org/en/companies/bensolution-gmbh/home.html,Swiss Made Software,1,Software,
benvision GmbH,6433 Stoos SZ,https://www.benvision.ch/,Swico,1,ICT / consumer electronics,
BeOne Medicines I GmbH,,https://www.swissbiotech.org/listing/beone-medicines-i-gmbh/,Swiss Biotech Association,1,Biotech,
Beosolar GmbH,Adelboden; Spiez,https://www.beosolar.ch,Swissolar,1,Solar / energy,Erlenweg 1; Flurweg 4
BERAUK Capital SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Berchtold Apparatebau AG,Märstetten,http://www.berchtold-ag.ch/,Swissmechanic,1,Industry / SMEs,"Berchtold Apparatebau AG, Weinfelderstrasse 23a, 8560 Märstetten"
Berchtold Informatik,,https://www.swissmadesoftware.org/en/companies/berchtold-informatik/home.html,Swiss Made Software,1,Software,
Berfid SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
Berg Digital,,https://www.swissmadesoftware.org/en/companies/berg-digital--einzelunternehmen--che-169.865.482-/home.html,Swiss Made Software,1,Software,
BERGER technologie GmbH,Gwatt,http://www.bergertech.ch/,Swissmechanic,1,Industry / SMEs,"BERGER technologie GmbH, C.F.L. Lohnerstrasse 28 E, 3645 Gwatt"
"Berger, van Berchem & Cie SA",Genève,,FINMA,1,Regulated financial services,Manager of collective assets
Berger-Elektronik GmbH,,https://www.swissmadesoftware.org/en/companies/berger-elektronik-gmbh/home.html,Swiss Made Software,1,Software,
