rank,employer,proxy_score,selection_bucket,corporate_subtype,public_subtype,city_location,website,sources,source_count,it_relevance_score,scale_institutional_proxy,data_confidence_score,penalty,employer_group_key,selection_reason,caveats,review_status
11,Luzerner Kantonalbank AG,99.8,Corporate / institutional IT,Finance / insurance,,6002 Luzern; Luzern,http://www.lukb.ch/,FINMA; Swiss Banking; swissICT,3,100,100,99,0,cantonal-bank:luzerner kantonalbank,"IT/digital directories: swissICT; Institutional signal: FINMA, Swiss Banking; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
12,Migros Bank AG,99.8,Corporate / institutional IT,Finance / insurance,,8021 Zurich; Zürich,http://www.migrosbank.ch/,FINMA; Swiss Banking; swissICT,3,100,100,99,0,migros,"IT/digital directories: swissICT; Institutional signal: FINMA, Swiss Banking; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
13,UBS AG,99.8,Corporate / institutional IT,Finance / insurance,,Zürich,http://www.ubs.com,asut; digitalswitzerland; FINMA,3,100,100,99,0,ubs,"IT/digital directories: asut, digitalswitzerland; Institutional signal: FINMA; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
14,Zuger Kantonalbank,99.8,Corporate / institutional IT,Finance / insurance,,6301 Zug; Zug,http://www.zugerkb.ch/,FINMA; Swiss Banking; swissICT,3,100,100,99,0,cantonal-bank:zuger kantonalbank,"IT/digital directories: swissICT; Institutional signal: FINMA, Swiss Banking; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
15,ABB Schweiz AG,99.7,Corporate / institutional IT,General corporate,,Aargau; Baden; Schaffhausen,https://www.abb.com,asut; swisscleantech; Swissmem; Swissrail,4,100,99,100,0,abb,"IT/digital directories: asut; High-tech directories: Swissmem, Swissrail, swisscleantech; Recognisable large-employer signal; Confirmed by 4 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
16,Huawei Technologies Switzerland AG,99.7,Corporate / institutional IT,General corporate,,3097 Liebefeld; 8600 Dübendorf; Liebefeld,http://www.huawei.com,asut; Swico; swissICT; Swissmem; Swissolar,5,100,99,100,0,huawei,"IT/digital directories: Swico, asut, swissICT; High-tech directories: Swissmem, Swissolar; Recognisable large-employer signal; Confirmed by 5 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
17,BDO AG,98.8,Corporate / institutional IT,Finance / insurance,,8005 Zurich; Solothurn,http://www.bdo.ch/,Swiss Banking; Swiss Made Software; swissICT,3,100,100,94,0,bdo,"IT/digital directories: Swiss Made Software, swissICT; Institutional signal: Swiss Banking; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
18,Ernst & Young AG,98.8,Corporate / institutional IT,Finance / insurance,,4002 Basel,http://www.ey.com/,digitalswitzerland; Swiss Banking; Swiss Biotech Association,3,100,100,94,0,ernst & young,IT/digital directories: digitalswitzerland; Institutional signal: Swiss Banking; High-tech directories: Swiss Biotech Association; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
19,ETH Zürich,98.8,Corporate / institutional IT,Public / education / healthcare,Public / healthcare / infrastructure,Canton of Zurich; Zürich,https://ethz.ch/,asut; Swiss Medtech; swissICT,3,100,100,94,0,eth,"IT/digital directories: asut, swissICT; High-tech directories: Swiss Medtech; Recognisable large-employer signal; Public/institutional IT-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
20,Siemens Schweiz AG,98,Corporate / institutional IT,General corporate,,8047 Zürich; Zug; Zürich,https://www.siemens.ch,Swico; swisscleantech; Swissmem,3,100,94,99,0,siemens,"IT/digital directories: Swico; High-tech directories: Swissmem, swisscleantech; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
21,Die Schweizerische Post AG,97.6,Corporate / institutional IT,General corporate,,3030 Bern; Bern; Bern-Zollikofen,http://www.post.ch,asut; Swico; swisscleantech; swissICT,4,100,92,100,0,schweizerische post,"IT/digital directories: Swico, asut, swissICT; High-tech directories: swisscleantech; Recognisable large-employer signal; Confirmed by 4 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
